theta_deg,Ns25_h_norm,Ns25_beta_norm,Ns147_h_norm,Ns147_beta_norm,Ns261_h_norm,Ns261_beta_norm
0,-0.530,-0.350,-1.560,-1.560,-1.000,-0.560
5,-0.476,-0.474,-1.290,-1.200,-0.948,-0.600
10,-0.392,-0.180,-1.035,-0.895,-0.892,-0.605
15,-0.291,-0.062,-0.795,-0.600,-0.820,-0.580
20,-0.150,0.037,-0.540,-0.355,-0.665,-0.503
25,-0.037,0.135,-0.308,-0.135,-0.475,-0.355
30,0.075,0.228,-0.032,0.060,-0.275,-0.160
35,0.200,0.320,0.122,0.235,-0.055,0.070
40,0.345,0.425,0.310,0.380,0.200,0.320
45,0.500,0.500,0.500,0.500,0.500,0.500
50,0.655,0.548,0.635,0.580,0.785,0.620
55,0.777,0.588,0.745,0.645,1.035,0.708
60,0.900,0.612,0.860,0.695,1.280,0.825
65,1.007,0.615,0.992,0.755,1.508,0.955
70,1.115,0.600,1.140,0.850,1.730,1.150
75,1.188,0.569,1.365,0.970,1.970,1.413
80,1.245,0.530,1.595,1.115,2.225,1.608
85,1.278,0.479,1.790,1.300,2.485,1.780
90,1.290,0.440,1.960,1.485,2.740,1.960
95,1.287,0.402,2.048,1.518,2.980,2.150
100,1.269,0.373,2.110,1.540,3.195,2.345
105,1.240,0.350,2.158,1.545,3.320,2.525
110,1.201,0.340,2.203,1.560,3.515,2.710
115,1.162,0.340,2.253,1.592,3.572,2.900
120,1.115,0.350,2.315,1.642,3.570,3.000
125,1.069,0.380,2.390,1.720,3.490,3.010
130,1.025,0.437,2.495,1.900,3.350,2.925
135,0.992,0.520,2.630,2.090,3.140,2.760
140,0.945,0.605,2.735,2.315,2.875,2.500
145,0.908,0.683,2.905,2.530,2.570,2.245
150,0.875,0.750,3.000,2.650,2.300,1.990
155,0.848,0.802,3.020,2.720,2.065,1.750
160,0.819,0.845,2.975,2.740,1.840,1.518
165,0.788,0.872,2.825,2.685,1.633,1.300
170,0.755,0.883,2.652,2.535,1.440,1.085
175,0.723,0.878,2.442,2.310,1.260,0.870
180,0.690,0.860,2.195,2.090,1.080,0.660
185,0.656,0.823,1.890,1.850,0.920,0.500
190,0.619,0.780,1.525,1.570,0.780,0.505
195,0.583,0.725,1.195,1.250,0.710,0.555
200,0.555,0.660,0.935,0.955,0.670,0.615
205,0.531,0.580,0.695,0.730,0.660,0.630
210,0.510,0.490,0.500,0.530,0.555,0.500
215,0.502,0.397,0.374,0.350,0.410,0.315
220,0.500,0.310,0.277,0.175,0.265,0.100
225,0.505,0.230,0.190,0.000,0.065,-0.075
230,0.520,0.155,0.114,-0.160,-0.140,-0.315
235,0.539,0.085,0.058,-0.295,-0.345,-0.515
240,0.565,0.018,-0.015,-0.425,-0.550,-0.715
245,0.593,-0.052,-0.110,-0.550,-0.745,-0.880
250,0.615,-0.123,-0.220,-0.670,-0.960,-1.030
255,0.634,-0.220,-0.334,-0.820,-1.200,-1.225
260,0.640,-0.343,-0.440,-0.992,-1.480,-1.450
265,0.638,-0.490,-0.550,-1.213,-1.810,-1.860
270,0.630,-0.630,-0.670,-1.500,-2.200,-2.200
